iter	Logloss
0	0.5875831834
1	0.5033276056
2	0.4412367206
3	0.3907684806
4	0.3502778402
5	0.3200836206
6	0.2962990315
7	0.2782503321
8	0.2614546567
9	0.2486238678
10	0.2383323032
11	0.2291179483
12	0.2219633278
13	0.2169243497
14	0.2118982812
15	0.207449095
16	0.2026671839
17	0.1996475801
18	0.1967872207
19	0.1941741214
20	0.1912905846
21	0.1895531803
22	0.1878258617
23	0.1862769026
24	0.184709175
25	0.1832094393
26	0.1820866989
27	0.1806879988
28	0.1798224616
29	0.1789162506
30	0.1778541305
31	0.1771510287
32	0.1763933776
33	0.1756167339
34	0.1747269884
35	0.1741058323
36	0.1736078168
37	0.1730037091
38	0.1725916427
39	0.1720883285
40	0.1714592156
41	0.1710350282
42	0.1704229493
43	0.1701447758
44	0.1698855824
45	0.1694875421
46	0.168784167
47	0.1682200048
48	0.1679161175
49	0.1676207739
50	0.1673788273
51	0.1669245011
52	0.1667222154
53	0.1662466082
54	0.1660248229
55	0.1657504016
56	0.1655311112
57	0.1652930399
58	0.1650516601
59	0.1648665005
60	0.1643929311
61	0.1639812592
62	0.1638201642
63	0.1636093894
64	0.1632176956
65	0.1629646059
66	0.1627430405
67	0.1623308497
68	0.1621875921
69	0.1620461489
70	0.1618973149
71	0.1615809311
72	0.161412107
73	0.1613082445
74	0.1611777716
75	0.1610268148
76	0.1609275721
77	0.1607877349
78	0.1606263388
79	0.1603597222
80	0.1600893268
81	0.159718996
82	0.1594288933
83	0.1592508302
84	0.159106676
85	0.1590657597
86	0.1589446786
87	0.1587142864
88	0.1586238104
89	0.1583561676
90	0.1580225591
91	0.1578797134
92	0.1577581686
93	0.1575870925
94	0.1574972391
95	0.1569362403
96	0.1567856568
97	0.1566905162
98	0.1565107506
99	0.1564603592
100	0.1563260798
101	0.1561435992
102	0.1557720978
103	0.1554652332
104	0.1552537769
105	0.1551175528
106	0.1548242592
107	0.154715122
108	0.1545362158
109	0.1544330027
110	0.1543619953
111	0.1541614849
112	0.1540778885
113	0.1539116223
114	0.1535892365
115	0.1534461883
116	0.1533698297
117	0.1532937231
118	0.1531545967
119	0.1530203388
120	0.1528187295
121	0.1526506392
122	0.1525588261
123	0.1523438459
124	0.1522905278
125	0.1522294743
126	0.1519132903
127	0.1517986161
128	0.1516530962
129	0.1514771648
130	0.1513999509
131	0.151312131
132	0.1512336797
133	0.1511370946
134	0.1508920143
135	0.150820826
136	0.1507199353
137	0.150552498
138	0.1503027622
139	0.150234905
140	0.1500382853
141	0.1499462469
142	0.1498742592
143	0.1496764481
144	0.1494148352
145	0.1491852088
146	0.1490972379
147	0.148996031
148	0.148911319
149	0.1488412576
150	0.1487281346
151	0.148666689
152	0.1483972312
153	0.1481572322
154	0.1480298373
155	0.1478765667
156	0.1476424028
157	0.1475670882
158	0.1474614237
159	0.1473757949
160	0.1472969985
161	0.1471928261
162	0.1469517094
163	0.1467826543
164	0.1467293279
165	0.1466383307
166	0.1463969064
167	0.1462123009
168	0.1461058818
169	0.1460292981
170	0.1459342148
171	0.1458517276
172	0.1457789155
173	0.1456708998
174	0.1455023525
175	0.1454051876
176	0.1452549675
177	0.1451026205
178	0.1450784969
179	0.1450163213
180	0.144839358
181	0.1447612491
182	0.1445690238
183	0.1445038149
184	0.1444254908
185	0.1443553714
186	0.1442029428
187	0.1440642983
188	0.143896178
189	0.1438311824
190	0.1437509344
191	0.1436265474
192	0.1435473233
193	0.1434222053
194	0.1433359162
195	0.1432815686
196	0.1431960924
197	0.1429379216
198	0.1428308861
199	0.142751101
200	0.1426835402
201	0.142576068
202	0.1425153075
203	0.1423170151
204	0.1422333188
205	0.1420929986
206	0.141995429
207	0.141895984
208	0.1418047043
209	0.1415747723
210	0.1415093879
211	0.1414002005
212	0.1413372377
213	0.1412610225
214	0.1412020232
215	0.1411256267
216	0.1409165739
217	0.1408388977
218	0.1407824525
219	0.1406058286
220	0.1405286487
221	0.1404150172
222	0.1403523126
223	0.1402557966
224	0.14023677
225	0.14018399
226	0.14010942
227	0.1400459532
228	0.139998918
229	0.139916053
230	0.1397467669
231	0.1395441885
232	0.1394712895
233	0.1394050197
234	0.1393185231
235	0.1392147283
236	0.1391611861
237	0.1390809781
238	0.1390238402
239	0.1388680503
240	0.138788621
241	0.1387304618
242	0.1386167099
243	0.138546485
244	0.1385306274
245	0.1383936685
246	0.1382916796
247	0.1382116641
248	0.1381007584
249	0.1380869181
250	0.1380521007
251	0.137944717
252	0.1379090482
253	0.137767484
254	0.1376745051
255	0.1376148083
256	0.1374931262
257	0.1374023361
258	0.1372916451
