iter	Logloss
259	0.1372089302
260	0.1371435484
261	0.1370823413
262	0.1370283303
263	0.1369757739
264	0.136849252
265	0.1366337941
266	0.1365142357
267	0.1364340221
268	0.1363752944
269	0.1363271252
270	0.1361798774
271	0.1361202711
272	0.1360605083
273	0.1359996514
274	0.135834243
275	0.1357262371
276	0.1355487982
277	0.1353956172
278	0.1352943704
279	0.135151255
280	0.1350786043
281	0.1350142391
282	0.1349247175
283	0.1348683314
284	0.1348239454
285	0.1346745945
286	0.1346030896
287	0.1344927415
288	0.1343681667
289	0.1342893656
290	0.1342249194
291	0.1341494426
292	0.1340775137
293	0.1340367733
294	0.1339991675
295	0.1339286998
296	0.1338121612
297	0.1337456312
298	0.1336457266
299	0.1335910004
300	0.1335134002
301	0.1334456855
302	0.1334002451
303	0.133356418
304	0.1332709676
305	0.1332010598
306	0.1331366513
307	0.1330400569
308	0.1329811654
309	0.1328974957
310	0.132815379
311	0.1327492111
312	0.13266521
313	0.1325579255
314	0.1324738552
315	0.1323746934
316	0.1323180986
317	0.1322597832
318	0.1322217587
319	0.132146866
320	0.1320955803
321	0.1320292864
322	0.132018598
323	0.1319318084
324	0.1318360703
325	0.1317835998
326	0.131708573
327	0.1316420869
328	0.1315885209
329	0.1315212392
330	0.1314782074
331	0.1314036724
332	0.1313342324
333	0.1312119213
334	0.1310874407
335	0.1310395304
336	0.1309750749
337	0.1309157422
338	0.1308756336
339	0.1308215182
340	0.1307136426
341	0.1306352988
342	0.1305398962
343	0.1304628378
344	0.1303549294
345	0.1302960758
346	0.1302384389
347	0.1301941246
348	0.1300914203
349	0.1300233723
350	0.1299514582
351	0.129879168
352	0.1298233211
353	0.1297970084
354	0.1297084342
355	0.1296347811
356	0.1295715787
357	0.1295167007
358	0.1294966823
359	0.1294120657
360	0.129342742
361	0.1292396026
362	0.129186846
363	0.1291510731
364	0.1291104562
365	0.1290814577
366	0.1289944336
367	0.128931867
368	0.1288823013
369	0.1288352282
370	0.1288205314
371	0.128765637
372	0.1287104204
373	0.1286479168
